Student Id,Task 1 %,Task 2 %,Task 3 %,Task 4 %
1,80,56,60,
2,8,8,27,10
3,25,32,42,13
4,73,86,92,87
5,67,66,75,66
6,50,46,47,27
7,48,62,43,51
8,90,82,83,82
9,95,84,72,93
10,98,94,92,91
11,73,78,80,82
12,78,64,68,45
13,18,42,30,21
14,75,80,72,64
15,73,68,80,55
16,90,80,88,81
17,93,90,100,92
18,90,84,83,76
19,87,80,83,85
20,73,78,75,71
21,100,96,100,90
22,83,80,78,79
23,88,76,75,77
24,97,84,87,85
25,88,74,73,81
